idx,accelX_g,accelY_g,accelZ_g,magX_uT,magY_uT,magZ_uT,gyroX_dps,gyroY_dps,gyroZ_dps,gyroX_deg,gyroY_deg,gyroZ_deg,temp_C,humidity,pres_Pa,alt_m
448.0,0.093,0.937,0.011,-27.5,-79.9,12.8,-1.688,-3.625,-0.062,89.344,-5.651,144.899,25.75,42.02,99700.74,141.57
449.0,0.093,0.934,0.012,-29.2,-79.4,11.5,-2.0,-2.938,-0.25,89.282,-5.669,149.521,25.752,42.04,99703.18,141.36
450.0,0.092,0.934,0.008,-28.3,-78.3,10.5,-1.812,-3.188,0.312,89.521,-5.61,151.472,25.756,42.07,99702.37,141.43
451.0,0.093,0.933,0.008,-28.3,-77.8,13.1,-2.25,-3.5,0.188,89.521,-5.675,146.121,25.745,42.06,99703.97,141.29
452.0,0.096,0.935,0.013,-28.9,-78.7,11.0,-1.75,-3.188,-0.25,89.223,-5.84,149.83,25.75,42.1,99700.38,141.61
453.0,0.093,0.935,0.009,-29.1,-79.0,12.3,-2.25,-3.438,-0.062,89.462,-5.663,148.37,25.752,42.14,99705.46,141.16
454.0,0.091,0.936,0.009,-28.5,-78.6,13.4,-1.75,-3.688,0.125,89.462,-5.539,145.788,25.754,42.11,99704.93,141.21
455.0,0.09,0.934,0.014,-28.8,-79.4,12.8,-1.375,-3.125,0.125,89.162,-5.491,146.498,25.761,42.18,99706.88,141.04
456.0,0.091,0.934,0.008,-28.9,-79.2,12.3,-1.125,-3.375,-0.188,89.521,-5.55,148.455,25.752,42.15,99702.1,141.46
457.0,0.092,0.935,0.011,-29.3,-78.8,12.8,-1.625,-3.75,-0.688,89.342,-5.604,147.463,25.755,42.14,99703.32,141.35
458.0,0.093,0.935,0.007,-29.5,-78.8,12.0,-2.0,-3.25,0.375,89.581,-5.663,149.78,25.756,42.14,99703.18,141.36
459.0,0.091,0.935,0.01,-28.9,-78.3,13.7,-1.75,-3.188,0.125,89.402,-5.544,145.616,25.756,42.16,99700.57,141.59
460.0,0.092,0.935,0.008,-29.3,-78.6,12.4,-1.625,-3.312,-0.062,89.522,-5.604,148.726,25.763,42.21,99705.73,141.14
461.0,0.093,0.935,0.01,-28.8,-79.3,9.4,-1.312,-3.25,-0.25,89.402,-5.663,153.866,25.76,42.16,99701.98,141.47
462.0,0.091,0.934,0.01,-28.7,-79.1,12.8,-1.812,-3.375,0.062,89.401,-5.55,146.933,25.761,42.12,99702.57,141.42
463.0,0.096,0.935,0.01,-29.1,-78.5,11.2,-1.312,-2.812,-0.562,89.402,-5.841,150.185,25.764,42.13,99702.71,141.41
464.0,0.092,0.933,0.009,-29.1,-78.6,13.3,-1.375,-3.188,0.125,89.461,-5.615,146.588,25.77,42.17,99702.55,141.43
465.0,0.09,0.935,0.009,-29.2,-79.6,12.2,-2.625,-3.625,-0.125,89.462,-5.485,148.907,25.766,42.12,99700.38,141.61
466.0,0.093,0.936,0.01,-29.0,-78.9,12.4,-2.25,-3.25,0.25,89.403,-5.657,147.921,25.767,42.05,99700.93,141.57
467.0,0.092,0.934,0.01,-29.7,-77.8,12.2,-1.375,-3.062,0.188,89.401,-5.609,149.358,25.771,42.06,99703.72,141.32
468.0,0.093,0.935,0.01,-28.5,-79.6,12.8,-1.75,-3.25,0.25,89.402,-5.663,146.406,25.771,42.08,99703.09,141.38
